,English Paragraph,Chinese Paragraph
0,AB FCP I ,"AB  FCP  I 乃根據盧森堡大公國法例組建及根據《二零一零年法
律》第 I 部分登記的互惠投資基金，作為其證券的非法團合資經
營 。本 傘 子 基 金 已 於 盧 森 堡 商 業 公 司 註 冊 處( Registre  de 
Commerce et des Sociétés of Luxembourg)登記，登記號碼為 K 
217。根據 UCITS 指令第 1(2)條的定義，本傘子基金取得 UCITS
的資格。管理公司根據本傘子基金的管理條例（不時修訂）並為
股東的利益而管理本傘子基金。請見「附加資料－管理條例」。
本傘子基金的資產（包括各基金的資產）與管理公司的資產分開。
本文所述由本傘子基金或基金實施的一切行動，均由管理公司或
其代理人代表本傘子基金或有關基金實施。 "
1,Additional Information for Hong Kong Investors ,"Mémorial 指 Mémorial C，Recueil des Sociétés et Associations 
穆迪指 Moody's Investors Services, Inc. "
2,>  Dynamic Diversified Portfolio ,>  亞洲（日本以外）股票基金  >  美元收益基金 
3,>  Global Equity Blend Portfolio ,>  亞洲（日本以外）股票基金  >  美元收益基金 
4,>  Short Duration Bond Portfolio ,>  亞洲（日本以外）股票基金  >  美元收益基金 
5,>  Emerging Markets Growth ,>  亞洲（日本以外）股票基金  >  美元收益基金 
6,>  Global High Yield Portfolio ,>  亞洲（日本以外）股票基金  >  美元收益基金 
7,>  Asia Ex-Japan Equity Portfolio ,>  亞洲（日本以外）股票基金  >  美元收益基金 
8,> ,>  全方位領航基金 
9,Japan Strategic Value Portfolio ,"•  AllianceBernstein  (Japan)  Ltd. ， 主 要 辦 事 處 位 於
Hibiya  Park  Front  Building  14F,  2-1-6  Uchisaiwaicho, 
Chiyoda-ku, 14th Floor, Tokyo 100-001, Japan "
10,>  China Low Volatility Equity ,>  亞洲（日本以外）股票基金  >  美元收益基金 
11,>  American Income Portfolio ,>  亞洲（日本以外）股票基金  >  美元收益基金 
12,>  European Income Portfolio ,>  亞洲（日本以外）股票基金  >  美元收益基金 
13,>  Emerging Markets Debt Portfolio ,>  亞洲（日本以外）股票基金  >  美元收益基金 
14,>  Mortgage Income Portfolio ,>  亞洲（日本以外）股票基金  >  美元收益基金 
15,"AB FCP I (the “Fund”) is a mutual investment fund (fonds commun de placement) organized under the laws of the Grand 
Duchy of Luxembourg.  Purchase orders can be accepted only on the basis of the Prospectus of the Fund dated 31 March 
2023  (the  “Prospectus”)  and  this  statement  of  additional  information  for  Hong  Kong  investors  (this  “Hong  Kong 
Supplement”), which together form the offering documents for the Fund for the purpose of marketing Shares of the Fund in 
the Hong Kong Special Administrative Region of the People’s Republic of China (“Hong Kong”) (the “Hong Kong Offering 
Document”).  ","聯博是根據盧森堡大公國法律組成的互惠投資基金 (fonds commun de placement)，法定名稱為AB FCP I
（「本傘子基金」）。購買指示僅可在2023年3月31日刊發的本傘子基金認購章程（「認購章程」）以及
此份致香港投資者補充資料說明（本「香港補充資料」）的基礎上獲得接納。上述兩份文件共同組成本傘
子基金在中華人民共和國香港特別行政區（「香港」）銷售本傘子基金股份的發售文件（「香港發售文
件」）。 "
16,"If  you  are  in  any  doubt  about  the  contents  of  the  Prospectus,  this  Hong  Kong  Supplement  or  the  financial 
statements accompanying this document you should seek independent professional advice. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
17,- 1 - ,"-  目標基金本身並無投資於基金； 
-  擬購入的目標基金可將不多於 10%的資產投資於其他基"
18,"WARNING: Please note that the Prospectus is a global offering document and therefore also contains details of funds 
which are not authorized by the Securities and Futures Commission (the “SFC”) for offering to the public in Hong Kong or 
share classes not available to Hong Kong investors.   ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
19,"Investors  should  note  that  the  Hong  Kong  Offering  Document  of  the  Fund  is  authorized  on  the  condition  that  the 
Management Company shall ensure that only the share classes of the SFC-authorized funds listed on pages 4 to 6 of this 
Hong Kong Supplement which are specified as available to Hong Kong investors are and shall be offered to the public in 
Hong Kong.  ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
20,"It is an offence to offer any non-SFC authorized share classes to the public in Hong Kong unless an exemption under 
section 103 of the Securities and Futures Ordinance of Hong Kong (Cap. 571) (“SFO”) applies. Intermediaries should 
take note of this restriction. ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
21,- 2 - ,"-  目標基金本身並無投資於基金； 
-  擬購入的目標基金可將不多於 10%的資產投資於其他基"
22," 
 
 
 
 
 
 
 
 
 
 
 
 
 
Information for Hong Kong Investors ","Mémorial 指 Mémorial C，Recueil des Sociétés et Associations 
穆迪指 Moody's Investors Services, Inc. "
23,"The aim of this Hong Kong Supplement is to set out all the information relating to the Fund and each of its Portfolios that is 
particular to the offering of the Portfolios to investors in Hong Kong. Notwithstanding the reference in the Prospectus, the 
SFDR  Pre-Contractual  Disclosures  referred  to  therein  will  only  be  available  in  English  upon  request  with  the  Hong  Kong 
Representative. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
24,"All terms used in this Hong Kong Supplement shall bear the same meaning as in the Prospectus unless the context otherwise 
requires. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
25,"The managers of the Management Company (the “Managers”) have taken all reasonable care to ensure that the facts stated 
herein are true and accurate in all material respects at the date hereof and that there are no other material facts the omission 
of which makes misleading any statement herein, whether of fact or opinion. The Managers accept responsibility accordingly. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
26,"In the event of any inconsistency between the contents of the Prospectus and this Hong Kong Supplement, the information 
contained in the latter shall prevail. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
27,"Investors should note that the Portfolios are generally entitled to use derivative instruments for hedging and risk management 
purposes, as well as investment purposes, including, for example, efficient portfolio management and as an alternative to 
investing in the underlying securities or instruments. The use of derivatives may involve additional risks.  ","AllianceBernstein (Singapore) Ltd.的主要辦事處位於One Raffles Quay, #27-11 South Tower, Singapore 
048583，於1997年5月17日在新加坡成立，受新加坡金融管理局（Monetary Authority  of  Singapore）監
管並根據《 證券及 期貨法 》（Securities  and  Futures  Act）獲發資本 市場服務 牌照（Capital  Markets 
Service Licence），以從事資本市場產品買賣及基金管理受監管活動。  "
28,"The Fund was created on 21 August 1991 and its registered address is 2-4, rue Eugène Ruppert, L-2453 Luxembourg. ","本傘子基金創立於 1991 年 8 月 21 日，其註冊地址為 2-4, rue Eugène Ruppert, L-2453 Luxembourg。 "
29,"Warning: In relation to the Portfolios as set out in the Prospectus, the following Portfolios are authorized by the SFC pursuant 
to section 104 of the SFO and hence may be offered to the public of Hong Kong: ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
30,"1.  Dynamic Diversified Portfolio 
2.  Global Equity Blend Portfolio 
3.  Emerging Markets Growth Portfolio 
4.  Asia Ex-Japan Equity Portfolio  
5. 
Japan Strategic Value Portfolio 
6.  China Low Volatility Equity Portfolio  
7.  Short Duration Bond Portfolio 
8.  Global High Yield Portfolio 
9.  American Income Portfolio 
10.  European Income Portfolio 
11.  Emerging Markets Debt Portfolio 
12.  Mortgage Income Portfolio  ","抵押品 
1. 現金 
2. 外界信貸評級為 A 或以上的貨幣市場工具 
3. 由中央、地區或地方機關或由合資格司法管轄
區（如為聯邦國家，則由組成聯邦的其中一名
成員）的中央銀行或由一個或以上合資格司法
管轄區所屬公共國際團體發行或擔保的債券 "
31,"Please note that the Prospectus is a global offering document and therefore also contains information of the share classes 
which are not authorized by the SFC. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
32,"No  offer  shall  be  made  to  the  public  of  Hong  Kong  in  respect  of  unauthorized  funds.  The  issue  of  the  Prospectus  was 
authorized by the SFC only in relation to the offer of the above SFC-authorized funds to the public of Hong Kong. ","Steven  M.  Eisenberg，AllianceBernstein  L.P.  高級副總裁兼營
運總監，地址為 1345 Avenue  of  the Americas,  New York,  New 
York 10105, U.S.A.； "
